# MSU JPN 402 Article/Drama Vocab and Kanji			
# Compiled in Anki format by Kenneth Hanson, Spring 2013			
# Last updated 6/16/12			
# To import in Anki, delete the line number column and export as a Unicode (UTF-8) tab-delimited text file			
# Note: Kanji that aren't in the main vocab are listed last for each article/clip			
# Note: Anki will not import facts with 'duplicate items' -- vocab that appear in multiple articles will only be imported once.			
			
# Item	Reading	Meaning	Card Tags
			
# Article 1: Shuushoku			
家事	かじ	domestic work	article08, vocab-know, kanji-rw
無業者	むぎょうしゃ	＝職業が無い者	article08, vocab-opt
#位置づける	いち（づける）	to position	article08, vocab-rec
(Xに) のぼる		to go up; climb up to X	article08, vocab-rec
推計	すいけい	estimation	article08, vocab-rec
階級	かいきゅう	class	article08, vocab-rec
排除する	はいじょ（する）	to oust	article08, vocab-rec
差別する	さべつ	to discriminate	article08, vocab-know, kanji-rw
層	そう	(lit. layer) demographic population	article08, vocab-opt
比べる	くら（べる）	to compare	article08, vocab-know, kanji-r
分析	ぶんせき	analysis	article08, vocab-know
分類する	ぶんるい（する）	to categorize	article08, vocab-rec
図	ず	chart	article08, vocab-know
刹那的	せつなてき	living for a moment (bad meaning)	article08, vocab-opt
非行	ひこう	delinquency	article08, vocab-rec
型	かた、がた	type	article08, vocab-know
共通	きょうつう	common	article08, vocab-know, kanji-rw
自己	じこ	＝自分	article08, vocab-rec
実現	じつげん	realization	article08, vocab-know
追求	ついきゅう	pursuit	article08, vocab-rec
喪失	そうしつ	loss	article08, vocab-opt
(Xが) 長引く	ながび（く）	X is prolonged (Intr.)	article08, vocab-rec
望む	のぞ（む）	to wish	article08, vocab-know
X通り	とお（り）/ どお（り）	as N; as one wishes; instructs; etc.	article08, vocab-know
ままならない		＝出来ない	article08, vocab-rec
現実	げんじつ	reality	article08, drama10-4, vocab-know, kanji-rw
接点	せってん	contact	article08, vocab-rec
極端（に）	きょくたん（に）	extremely	article08, vocab-rec
ひきこもり		people who seclude oneself home	article08, vocab-know
含む	ふく（む）	＝含める; to include	article08, vocab-know, kanji-rw
養う	やしな（う）	to feed financially	article08, vocab-rec
余裕がある	よゆう（がある）	to be able to afford; to have leeway	article08, vocab-know, kanji-r
前提	ぜんてい	premise	article08, vocab-rec
Xならでは		＝Xに特徴的な characteristic of X	article08, vocab-know
過敏（な）	かびん（な）	sensitive	article08, vocab-rec
#新卒	しんそつ	＝新しく卒業すること、した人	article08, vocab-opt
偏る	かたよ（る）	to be disproportionally emphasized	article08, vocab-opt
失敗	しっぱい	failure	article08, vocab-know, kanji-rw
(Xが) つながる		X is linked; connected (Intr.); Cf. (Xを) つなげる (Tr.)	article08, vocab-know
実践的	じっせんてき	practical	article08, vocab-opt
即戦力	そくせんりょく	(lit. fight-ready) work-ready	article08, vocab-opt
求める	もと（める）	to want	article08, vocab-know
実情	じつじょう	＝実態	article08, vocab-rec
まっさら		＝真っ白　	article08, vocab-opt
状態	じょうたい	condition; state	article08, vocab-know
給料	きゅうりょう	salary; payroll	article08, vocab-know
定年	ていねん	retirement	article08, vocab-know, kanji-r
高度経済成長	こうどけいざいせいちょう	high economic growth	article08, vocab-know
構築	こうちく	construction   (abstract)	article08, vocab-opt
素地	そじ	base material	article08, vocab-opt
#			
#存在	そんざい	existence	article08, vocab-old, kanji-rw
自信	じしん	self-confidence	article08, article10, drama12-1, vocab-old, kanji-rw
合う	あう	to come together; fit; match	article08, vocab-old, kanji-rw
覚える	おぼえる	to remember	article08, vocab-old, kanji-rw
複雑な	ふくずつな	complex; complicated	article08, vocab-old, kanji-r
#不況	ふきょう	recession; depression	article08, vocab-know, kanji-r
挑戦	ちょうせん	challenge	article08, vocab-know, kanji-r
			
			
			
# Article 9: Gothloli			
ゴスロリ		Gothic-Lolita	article09, vocab-rec
おとぎ話	（おとぎ）ばなし	fairy tale	article09, vocab-know
闊歩する	かっぽ（する）	to swagger	article09, vocab-opt
彷彿とさせる	ほうふつ（とさせる）	to be reminiscent of	article09, vocab-opt
街角	まちかど	street corner	article09, vocab-rec
コスプレ		costume play	article09, vocab-know
特異な	とくい（な）	strange      Cf. 特別な、特殊な	article09, vocab-opt
略す	りゃく（す）	to abbreviate	article09, vocab-know
もともとは		originally	article09, vocab-know
退廃的（な）	たいはいてき	decadent	article09, vocab-rec
変化する	へんか（する）	to change	article09, vocab-know, kanji-rw
定か	さだ（か）	＝確（たし）か; certain	article09, vocab-rec
基調	きちょう	base tone	article09, vocab-rec
悪魔	あくま	devil	article09, vocab-rec
十字架	じゅうじか	cross	article09, vocab-rec
少女趣味	しょうじょしゅみ	girlish taste	article09, vocab-opt
要するに	よう（するに）	＝つまり; in short	article09, vocab-know, kanji-rw
思想	しそう	ideology	article09, vocab-know
混ぜ合わせる	ま（ぜ）あ（わせる）	to mix	article09, vocab-know
独自	どくじ	unique	article09, vocab-rec
やや		＝少し	article09, vocab-rec
こよなく		＝心から; 本当に; deeply	article09, vocab-opt
お姫様	（お）ひめさま	princess　⇔　王子（おうじ）様	article09, vocab-know, kanji-r
衣装	いしょう	costume	article09, vocab-rec
袖を通す	そで（を）とお（す）	to wear	article09, vocab-rec
高揚する	こうよう（する）	to feel high	article09, vocab-rec
普段	ふだん	＝いつも; ordinary day 	article09, , kanji-r
ごく		as common as	article09, vocab-rec
服装	ふくそう	clothes; fashion	article09, vocab-know
(Xが) 集う	つど（う）	＝集まる	article09, vocab-rec
姿	すがた	one’s figure; physical appearance	article09, drama12-4, vocab-know, kanji-rw
豹変する	ひょうへん（する）	to change drastically	article09, vocab-opt
心がける	こころ（がける）	to keep in mind; try to	article09, vocab-know, kanji-rw
上品（な）	じょうひん（な）	chic　⇔　下品（げひん）な	article09, vocab-know, kanji-rw
一際	ひときわ	conspicuously	article09, vocab-rec
目立つ	めだ（つ）	to stand out	article09, vocab-know, kanji-rw
着飾る	きかざ（る）	to dress up	article09, vocab-rec, kanji-r
完璧（な）	かんぺき（な）	perfect	article09, vocab-know, kanji-r
仕上げる	しあ（げる）	to finish up	article09, vocab-know
Xだけに		especially because X	article09, vocab-know
好奇の目	こうき（の）め	stare with curiosity	article09, vocab-opt
#V-stemがち [2]		V-stemやすい、よくVする	article09, vocab-know
偏見	へんけん	prejudice	article09, vocab-know, kanji-r
意志	いし	will; purpose	article09, vocab-know, kanji-r
一般受けする	いっぱんう（けする）	to have mass appeal; approval	article09, vocab-rec
客観的（な）	きゃっかんてき	objective	article09, vocab-know, kanji-r
カチューシャ		headband	article09, vocab-rec
お揃い	お（そろ）い	matching	article09, vocab-rec
ポシェット		purse; handbag	article09, vocab-rec
タイツ		tights; pantyhose	article09, vocab-rec
全体的（な）	ぜんたいてき	all-around; totally	article09, vocab-know
統一する	とういつ（する）	to integrate	article09, vocab-know, kanji-r
まとう		＝着る	article09, vocab-opt
隙	すき	(lit. opening) unguarded-ness	article09, vocab-opt
乙女心	おとめごころ	girls’ mind	article09, vocab-opt
(Xを) 満たす	み（たす）	to fulfill X	article09, vocab-know, kanji-r
物足りない	ものた（りない）	feeling short on; not enough	article09, vocab-know
#			
現代	げんだい	modern era; the present day	article09, vocab-old, kanji-rw
物語	ものがたり	story	article09, vocab-old, kanji-rw
基本的	きほんてき	basic; fundamental	article09, vocab-old, kanji-rw
人形	にんぎょう	doll	article09, vocab-old, kanji-rw
独自の	どくじの	original; peculiar; characteristic; proprietary	article09, vocab-old, kanji-rw
負ける	まける	to lose	article09, vocab-old, kanji-r
趣味	しゅむ	hobby	article09, vocab-old, kanji-r
			
			
			
# Documentary: Ichigoichie			
まわりの目を気にする		to be worried how one is perceived by others	documentary, vocab-opt
あこがれる		to long; yarn; admire	documentary, vocab-opt
否定する	ひてい	to disallow	documentary, vocab-opt
勇気を持つ	ゆうき	to have courage	documentary, vocab-opt
弱い	よわい	weak	documentary, vocab-opt
筋金入り	すじがねはいり	hard-core	documentary, vocab-opt
聖地	せいち	sacred place	documentary, vocab-opt
エチケット		etiquette　	documentary, vocab-opt
試着する	しちゃくする	＝着てみる	documentary, vocab-opt
抵抗	ていこう	resistance	documentary, vocab-opt
ほめる		to praise; compliment　　	documentary, vocab-opt
みにくい		ugly	documentary, vocab-opt
微妙	びみょう	＝ちょっと…　　	documentary, vocab-opt
地元	じもと	＝出身地　	documentary, vocab-opt
手を抜く	てをぬく	to skimp; slack off	documentary, vocab-opt
おこづかい		allowance　	documentary, vocab-opt
通信制高校	つうしんせいこうこう	correspondence high school courses	documentary, vocab-opt
ほこりまみれになる		to be covered with dust	documentary, vocab-opt
単純な	たんじゅん	simple and pure	documentary, vocab-opt
おびえる		to be scared	documentary, vocab-opt
#自信	じしん	confidence	documentary, vocab-opt
通販	つうはん	＝通信販売（つうしんはんばい） mail order	documentary, vocab-opt
圧倒される	あっとうされる	to be overwhelmed	documentary, vocab-opt
フリフリ		＝フリルがたくさんある	documentary, vocab-opt
後悔	こうかい	regret　　	documentary, vocab-opt
迷惑をかける	めいわくをかける	to cause trouble	documentary, vocab-opt
我慢する	がまんする	to bear　　	documentary, vocab-opt
#信者	しんじゃ	believer	documentary, vocab-opt
もたない		cannot sustain	documentary, vocab-opt
試す	ためす	to try	documentary, vocab-opt
手作り	てづくり	handmade　　	documentary, vocab-opt
きつい		1) tight (clothes); 2) harsh-sounding	documentary, vocab-opt
実行に移す	じっこうにうつす	to move into action　　	documentary, drama10-2, vocab-know
壁	かべ	wall	documentary, vocab-opt
縛る	しばる	to tie; bind	documentary, vocab-opt
背中を押す	せなかをおす	to push one’s back	documentary, vocab-opt
ぶどう畑	ぶどうばたけ	vineyard	documentary, vocab-opt
お気に入り	おきにはいり	favorite	documentary, vocab-opt
平気	へいき	＝大丈夫（だいじょうぶ）	documentary, vocab-opt
一歩をふみだす	いっぽをふみだす	to take a step forward	documentary, vocab-opt
			
			
			
# drama10-1			
お見合い	おみあい	formal marriage interview	drama10-1, vocab-know, kanji-rw
(Xを) 継ぐ	つぐ	to succeed (someone in a business or inheritance)	drama10-1, vocab-know
(XをＹに) 勧める	すすめる	to recommend X to Y	drama10-1, vocab-know
婚約	こんやく	engagement	drama10-1, vocab-know, kanji-rw
いい加減な	いいかげんな	unreliable; irresponsible	drama10-1, vocab-know
実家	じっか	one's parents' home	drama10-1, vocab-know, kanji-rw
素直な	すなおな	1) with no protest or stubbornness; 2) expressing one’s true feelings	drama10-1, vocab-know
心配をかける	しんぱいをかける	to make someone worried	drama10-1, vocab-know, kanji-rw
お宅	おたく	あなたの家（敬語）	drama10-1, vocab-know
様子	ようす	state; appearance	drama10-1, vocab-know, kanji-rw
#連絡する	れんらくする	to contact	drama10-1, vocab-know
事情	じじょう	situation (personal)	drama10-1, vocab-know, kanji-rw
			
			
			
# drama10-2			
結果	けっか	result	drama10-2, vocab-know, kanji-rw
薬指	くすりゆび	third finger	drama10-2, vocab-know, kanji-rw
正式に	せいしきに	formally	drama10-2, vocab-know, kanji-rw
ビクビク		being afraid of	drama10-2, vocab-know
ちゃんと／きちんと		properly; thoroughly; accurately	drama10-2, vocab-know
喜ぶ	よろこぶ	to be delighted	drama10-2, vocab-know
(Xが) 揃う	そろう	to become complete; to be all present	drama10-2, vocab-know
騙す	だます	to deceive	drama10-2, vocab-know
無視する	むしする	disregard; ignore	drama10-2, vocab-know
(Xに) 向く	むく	1) to turn toward; 2) to be suited for　	drama10-2, vocab-know, kanji-rw
世代	せだい	generation (family)	drama10-2, vocab-know, kanji-rw
救急車	きゅうきゅうしゃ	ambulance	drama10-2, vocab-know, kanji-rw
			
			
			
# drama10-3			
心臓	しんぞう	heart (medical term)	drama10-3, vocab-know
湯のみ	ゆのみ	teacup	drama10-3, vocab-know
センスがいい		to have a good taste	drama10-3, vocab-know
手術	しゅじゅつ	surgical operation	drama10-3, vocab-know
(Xに) 成功する	せいこうする	to succeed in X	drama10-3, vocab-know, kanji-rw
発作	ほっさ	seizure	drama10-3, vocab-know, kanji-rw
落ち込む	おちこむ	to feel down	drama10-3, vocab-know, kanji-rw
祈る	いのる	to pray	drama10-3, vocab-know, kanji-rw
(Xが) 気になる	きになる	ちょっと心配する、興味がある	drama10-3, vocab-know, kanji-rw
混乱	こんらん	disorder; chaos	drama10-3, vocab-know
少しずつ	すこしずつ	little by little	drama10-3, vocab-know, kanji-rw
不器用な	ぶきような	clumsy　	drama10-3, vocab-know
			
			
			
# drama10-4			
(Xを) 経営する	けいえいする	to manage (a company; store)	drama10-4, vocab-know
権利	けんり	right	drama10-4, vocab-know, kanji-rw
正直な	しょうじきな	うそをつかない; honest	drama10-4, vocab-know, kanji-rw
欠点	けってん	shortcoming; 弱点 ⇔ 長所　	drama10-4, vocab-know, kanji-rw
(Xを) 克服する	こくふくする	to overcome	drama10-4, vocab-know
(Xを) 支える	ささえる	to support (s.o. or s.t. fragile)　	drama10-4, vocab-know
#現実	げんじつ	reality	drama10-4, vocab-know, kanji-rw
譲る	ゆずる	to yield; give in	drama10-4, vocab-know
(Xに) ついて行く	ついていく	to accompany; to follow	drama10-4, vocab-know, kanji-rw
想像する	そうぞうする	to imagine　	drama10-4, vocab-know, kanji-rw
ウキウキ		cheerful; buoyant　	drama10-4, vocab-know
あり得ない	ありえない	impossible; it can’t happen	drama10-4, vocab-know
			
			
			
# drama11-1			
落ち着く	おちつく	to calm down	drama11-1, vocab-know, kanji-rw
(Xに) 腹が立つ	はらがたつ	(Xを) 怒る （話し言葉）	drama11-1, vocab-know
(Xを) 見捨てる	みすてる	to abandon	drama11-1, vocab-know, kanji-rw
返事	へんじ	reply; answer; response	drama11-1, vocab-know, kanji-rw
(Xに/と) 相談する	そうだんする	to consult X	drama11-1, vocab-know
温める	あたためる	to warm; to heat　	drama11-1, vocab-know, kanji-rw
夕べ	ゆうべ	昨夜 （話し言葉）	drama11-1, vocab-know, kanji-rw
着替える	きがえる	to change one's clothes	drama11-1, vocab-know
後悔する	こうかいする	to regret　	drama11-1, vocab-know
しっかりする		be fast on one's feet; to hang in there	drama11-1, vocab-know
評価	ひょうか	evaluation	drama11-1, vocab-know, kanji-rw
改めて	あらためて	another time; again　	drama11-1, vocab-know
			
			
			
# drama11-2			
行儀が悪い	ぎょうぎがわるい	bad-mannered	drama11-2, vocab-know
両手	りょうて	both hands	drama11-2, vocab-know, kanji-rw
(Xを) はずす	はずす	to unfasten; to undo; to remove  Cf. Xがはずれる	drama11-2, vocab-know
苦しい	くるしい	painful; difficult	drama11-2, vocab-know, kanji-rw
(Xを) 救う	すくう	to rescue; to help	drama11-2, vocab-know
悩む	なやむ	to be worried; to be troubled	drama11-2, vocab-know, kanji-rw
(Xを) 確認する	かくにんする	to confirm	drama11-2, vocab-know
たまに（は）		once in a while	drama11-2, vocab-know
(Xを) 手に入れる	てにいれる	to obtain	drama11-2, vocab-know, kanji-rw
詳しい	くわしい	detailed	drama11-2, vocab-know
出産	しゅっさん	giving birth	drama11-2, vocab-know, kanji-rw
命	いのち	(mortal) life　	drama11-2, vocab-know, kanji-rw
			
			
			
# drama11-3			
(Xと) 戦う	たたかう	to fight against X	drama11-3, vocab-know, kanji-rw
(Xから) 独立する	どくりつする	to become independent from X	drama11-3, vocab-know, kanji-rw
(Xを) 雇う	やとう	to employ	drama11-3, vocab-know
(Xを) 誘う	さそう	to invite	drama11-3, vocab-know
むしろ		rather　	drama11-3, vocab-know
#状況	じょうきょう	situation (objective)	drama11-3, vocab-know
突然	とつぜん	suddenly	drama11-3, vocab-know
存在	そんざい	existence	article08, drama11-3, vocab-know, kanji-rw
(人は物が) 気に入る	きにいる	to like X; 人 is pleased; satisfied with 物	drama11-3, vocab-know, kanji-rw
（お）見舞い	おみまい	1) visiting a sick person; 2) get-well letter; gift	drama11-3, vocab-know
(Xに) 負ける	まける	to lose; to be defeated by X　	drama11-3, vocab-know, kanji-rw
他人	たにん	unrelated person; outsider	drama11-3, vocab-know, kanji-rw
			
			
			
# drama11-4			
(Xが) 冷める	さめる	X becomes cool	drama11-4, vocab-know, kanji-rw
原因	げんいん	cause	drama11-4, vocab-know, kanji-rw
幸せ	しあわせ	happiness	drama11-4, vocab-know, kanji-rw
奪う	うばう	to snatch away; to dispossess	drama11-4, vocab-know
黙る	だまる	何も言わない; to be silent	drama11-4, vocab-know
預かる	あずかる	to keep X for a while	drama11-4, vocab-know, kanji-rw
封	ふう	seal	drama11-4, vocab-know
頼む	たのむ	to ask a favor	drama11-4, vocab-know, kanji-rw
(Xに) 感謝する	かんしゃする	to thank X	drama11-4, vocab-know
なつかしい		missed; nostalgic	drama11-4, vocab-know
おせっかい（を焼く）	おせっかい（をやく）	to put one’s nose into others' business	drama11-4, vocab-know
(Xが) 詰まる	つまる	X is packed; X is blocked; Cf. Xをつめる	drama11-4, vocab-know
			
			
			
# drama12-1			
(人を) 引き止める	ひきとめる	to hold back someone	drama12-1, vocab-know, kanji-rw
辛い	つらい	painful (emotionally); heart-breaking	drama12-1, vocab-know
入院	にゅういん	hospitalization	drama12-1, vocab-know, kanji-rw
(Xを) つぶす		1) to smash; 2) to shut down business  Cf. Xがつぶれる	drama12-1, vocab-know
安心する	あんしんする	to feel at ease; to feel relieved　	drama12-1, vocab-know, kanji-rw
悲しむ	かなしむ	to be sad; to mourn ← 悲しい	drama12-1, vocab-know, kanji-rw
勇気	ゆうき	courage	drama12-1, vocab-know
確かに	たしかに	surely; certainly	drama12-1, vocab-know, kanji-rw
#自信	じしん	self-confidence	drama12-1, vocab-know, kanji-rw
(Xが) 傷つく	きずつく	X is hurt Cf. Xを傷つける	drama12-1, vocab-know
(Xを) 囲む	かこむ	to surround	drama12-1, vocab-know
魅力	みりょく	charm; appeal	drama12-1, vocab-know
			
			
			
# drama12-2			
(Xを/QUOTEと) 伝える	つたえる	to tell; communicate	drama12-2, vocab-know, kanji-rw
（お）久しぶり	おひさしぶり	It has been a long time.	drama12-2, vocab-know
(Xが) 倒れる	たおれる	1) X falls; 2) X falls ill  Cf. Xを倒す	drama12-2, vocab-know
(Xを) 愛する	あいする	to love	drama12-2, vocab-know
(Xを) 失う	うしなう	to lose (more poetic thanなくす)　	drama12-2, vocab-know, kanji-rw
無事な	ぶじな	safe; undamaged　	drama12-2, vocab-know, kanji-rw
(XとYを) (XをYと/に) 比べる	くらべる	to compare	drama12-2, vocab-know, kanji-rw
(Xを) 乗り越える	のりこえる	to overcome	drama12-2, vocab-know
(Xを/QUOTEと)保証する	ほしょうする	to guarantee	drama12-2, vocab-know
(XをYに) 任せる	まかせる	to entrust X (e.g. a task) to Y; to leave X to Y	drama12-2, vocab-know
必ず	かならず	絶対に	drama12-2, vocab-know, kanji-rw
#(Xを) 移す	うつす	to transfer X  Cf. Xが移る	drama12-2, vocab-know
			
			
			
# drama12-3			
(Xを) 超える	こえる	to exceed	drama12-3, vocab-know
(Xを) 推薦する	すいせんする	to recommend　	drama12-3, vocab-know
上司	じょうし	boss	drama12-3, vocab-know, kanji-rw
部下	ぶか	junior staff　	drama12-3, vocab-know, kanji-rw
元々	もともと	originally　　	drama12-3, vocab-know, kanji-rw
臆病な	おくびょうな	coward; timid　	drama12-3, vocab-know
まっすぐ		straight; straightforward	drama12-3, vocab-know
名づける	なづける	名前をつける	drama12-3, vocab-know
迷う	まよう	1) to lose one’s way; 2) to waver	drama12-3, vocab-know, kanji-rw
宝物	たからもの	treasure	drama12-3, vocab-know
(Xを) 投げる	なげる	to throw	drama12-3, vocab-know, kanji-rw
(Xを) 育てる	そだてる	to raise X  Cf. Xが育つ	drama12-3, vocab-know, kanji-rw
			
			
			
# drama12-4			
拍手	はくしゅ	clapping hands; applause	drama12-4, vocab-know
代表する	だいひょうする	to represent	drama12-4, vocab-know, kanji-rw
(お) 礼	おれい	expression of gratitude	drama12-4, vocab-know
妻	つま	my wife	drama12-4, vocab-know
(XがYと/に)ぶつかる		X collides against Y; X bumps into Y;  X conflicts Y  Cf. XをYにぶつける	drama12-4, vocab-know
(Xを/QUOTEと) 願う	ねがう	to wish	drama12-4, vocab-know, kanji-rw
#姿	すがた	figure; shape; appearance	drama12-4, vocab-know, kanji-rw
ワクワクする		to be excited	drama12-4, vocab-know
新婚旅行	しんこんりょこう	honeymoon	drama12-4, vocab-know, kanji-rw
はめをはずす		to cut loose; to act without restraint	drama12-4, vocab-know
気をつけて	きをつけて	1) Have a safe trip. 2) Be careful.	drama12-4, vocab-know, kanji-rw
席	せき	seat	drama12-4, vocab-know, kanji-rw
			
			
			
# Onomatope			
ぎりぎり		with limited time/space/quantity; no time/room to spare	onomatope, vocab_know
ぐったり		so exhaused you can barely move	onomatope, vocab_know
ごくごく		gulping repetitively	onomatope, vocab_know
さくさく		1. crispiness; 2. light, repetitive sound of sand-like substance being moved; 3. quick, steady progress that leads to completion of a task	onomatope, vocab_know
ずきずき		throbbing pain	onomatope, vocab_know
すくすく		1. quickly, rapidly; 2. healthy and sound	onomatope, vocab_know
すっきり		refreshed mood following the end of a problem or nuisance	onomatope, vocab_know
さっぱり		physiologically refreshed (not necessarily at the end of a problem)	onomatope, vocab_know
すべすべ		a surface that is smooth/pleasing to the touch	onomatope, vocab_know
すりすり		rubbing a part of one's body on something as a display of affection	onomatope, vocab_know
べたべた		1. clinging easily to objects from melting or becoming wet; 2. pasting or spreading something all over; 3. people who cling to others	onomatope, vocab_know
もりもり		heaps of muscle/energy; eating hartily	onomatope, vocab_know
わくわく		excited because of some pleasant expectation	onomatope, vocab_know
