# MSU JPN 402 Article/Drama Vocab and Kanji			
# Compiled in Anki format by Kenneth Hanson, Spring 2013			
# Last updated 6/16/12			
# To import in Anki, delete the line number column and export as a Unicode (UTF-8) tab-delimited text file			
# Note: Kanji that aren't in the main vocab are listed last for each article/clip			
# Note: Anki will not import facts with 'duplicate items' -- vocab that appear in multiple articles will only be imported once.			
			
# Item	Reading	Meaning	Card Tags
			
# Article 1: Shuushoku			
研究開発部門	けんきゅうかいはつぶもん	research & development division	article02, vocab-rec
新卒	しんそつ	新しい卒業生; new graduates	article02, vocab-rec
採用する	さいよう（する）	to recruit (personnel); adapt (idea)	article02, vocab-know
教授	きょうじゅ	professor	article02, vocab-know
経営学	けいえいがく	business administration	article02, vocab-know
(Xが) 縮む	ちぢ（む）	＝縮小する　　Cf. (Xを) 縮める	article02, vocab-know, kanji-r
拡大する	かくだいする	to expand	article02, vocab-know, kanji-r
背景	はいけい	background	article02, vocab-know
機会	きかい	opportunity	article02, vocab-know, kanji-r
当然	とうぜん	＝当たり前; as a matter of fact	article02, vocab-know, kanji-r
語る	かた（る）	＝言う、話す	article02, vocab-know, kanji-rw
(Xが) 進む	すすむ	X is advanced (tr.)  Cf. (Xを) 進める	article02, vocab-know, kanji-rw
#雇用	こよう	employment	article02, vocab-rec
懸念	けねん	＝心配; concern	article02, vocab-opt
#厚生労働省	こうせいろうどうしょう	Ministry of Health, Labor, & Welfare	article02, vocab-opt
率	りつ	percentage	article02, vocab-know
悪化する	あっか（する）	＝悪くなる	article02, vocab-know, kanji-rw
さらに		＝もっと	article02, vocab-know
恐れ	おそ（れ）	fear	article02, vocab-know
役割	やくわり	role; task; responsibility	article02, vocab-know, kanji-r
(Xが) 得意な	とくい（な）	to be good at X	article02, vocab-know
不利な	ふり（な）	disadvantageous  ⇔ 有利（ゆうり）な	article02, vocab-know, kanji-rw
はっきり		clearly	article02, vocab-know
すばやく		＝はやく	article02, vocab-know
正確な	せいかく（な）	accurate	article02, vocab-know, kanji-r
不可欠な	ふかけつ（な）	＝欠かせない	article02, vocab-know
大切な	たいせつ（な）	＝大事な、重要な; important	article02, vocab-know, kanji-rw
面	めん	aspect; side	article02, vocab-know
#指摘する	してき（する）	to point out	article02, vocab-know
			
			
			
# Article 3: Localization			
直訳	ちょくやく	direct translation	article03, vocab-rec
工夫	くふう	ingenuity	article03, vocab-know
苦労	くろう	＝大変なこと; hardship	article03, vocab-know
同様	どうよう	＝同じように	article03, vocab-rec
翻訳	ほんやく	translation　　Cf. 通訳	article03, vocab-know, kanji-r
台詞	せりふ	script; line	article03, vocab-opt
幅広い	はばひろ（い）	wide range of	article03, vocab-rec
素材	そざい	material; subject matter	article03, vocab-rec
網羅する	もうら（する）	to include everything	article03, vocab-opt
多岐にわたる	たき（にわたる）	＝幅広（はばひろ）い; 色々な	article03, vocab-opt
一連の	いちれん（の）	a series of	article03, vocab-rec
作業	さぎょう	＝仕事; actual work; steps in work	article03, vocab-know
変更する	へんこう（する）	＝変える (Tr.)   Cf. 変化する	article03, vocab-know
総合する	そうごう（する）	to generalize	article03, vocab-know, kanji-r
現地化	げんちか	localization	article03, vocab-know
X職	しょく	＝Xの仕事	article03, vocab-rec
